#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD8DE7
#Date Time: 2020-06-09 19:00:13.200
#Sample rate: 33189.5Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 400 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 2.15 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 2.15 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
-0.0376625,-0.09465191445980414
-0.03763237,-0.07199342565352637
-0.03760224000000001,-0.04666923228180414
-0.03757211000000001,-0.02001218662735969
-0.03754198,0.007311285168445879
-0.03751185,0.034967970034932
-0.03748172000000001,0.06129180261869589
-0.03745159000000001,0.08494993063701534
-0.03742146,0.1062755671605709
-0.03739133,0.1236026468359598
-0.0373612,0.1365979565925015
-0.03733107000000001,0.1445950702888348
-0.03730094,0.1479272009956404
-0.03727081,0.145927922571557
-0.03724068,0.1385972350165848
-0.03721055000000001,0.1266015644720848
-0.03718042000000001,0.109940910938057
-0.03715029,0.08928170055586257
-0.03712016,0.06562357253754311
-0.03709003000000001,0.03963295302445978
-0.03705990000000001,0.01230948122865421
-0.03702977,-0.01568041670851246
-0.03699964,-0.04233746236295691
-0.03696951,-0.06832808187604025
-0.03693938000000001,-0.09098657068231805
-0.03690925,-0.1109793549231514
-0.03687912,-0.1266403692451375
-0.03684899,-0.1379696136482764
-0.03681886000000001,-0.1439674489205264
-0.03678873000000001,-0.1449670881325681
-0.0367586,-0.1409685312844014
-0.03672847,-0.1319717783760264
-0.03669834000000001,-0.1176436163367625
-0.03666821000000001,-0.09965011052001249
-0.03663808,-0.07765804785509581
-0.03660795,-0.0530002806247347
-0.03657782,-0.0266764480409708
-0.03654769000000001,0.001313449896195877
-0.03651756,0.02863692169200144
-0.03648743,0.05529396734644589
-0.0364573,0.07995173457680702
-0.03642717000000001,0.1019437972417237
-0.03639704000000001,0.1202705161291542
-0.03636691,0.1342654650977376
-0.03633678,0.1435954310767931
-0.03630665000000001,0.1475939879249598
-0.03627652000000001,0.1465943487129181
-0.03624639,0.1405965134406681
-0.03621626,0.1292672690375292
-0.03618613,0.1136062547155431
-0.03615600000000001,0.09328025740402923
-0.03612587,0.07028855552707089
-0.03609574,0.04463114908466811
-0.03606561,0.0176408903595431
-0.03603548000000001,-0.01034900757762357
-0.03600535000000001,-0.03733926630274858
-0.03597522,-0.06332988581583193
-0.03594509,-0.08698801383415136
-0.03591496000000001,-0.1076472242163458
-0.03588483000000001,-0.123974664679693
-0.0358547,-0.1363035482948736
-0.03582457,-0.1433010227791653
-0.03579444,-0.1453003012032486
-0.03576431000000001,-0.1423013835671236
-0.03573418,-0.1339710568001097
-0.03570405,-0.1206425339728875
-0.03567392,-0.1033154542974986
-0.03564379000000001,-0.08198981777394304
-0.03561366000000001,-0.05766526361426248
-0.03558353,-0.03134143103049858
-0.0355534,-0.004017959234693013
-0.03552327000000001,0.02330551256111255
-0.03549314000000001,0.05062898435691811
-0.03546301,0.07561996465795978
-0.03543288,0.09794524039355701
-0.03540275,0.1169383854223487
-0.03537262000000001,0.1315997605322931
-0.03534249,0.1419293657233903
-0.03531236,0.1469275617835987
-0.03528223,0.1465943487129181
-0.03525210000000001,0.1415961526527098
-0.03522197000000001,0.130933334390932
-0.03519184,0.1162719592809876
-0.03516171,0.09694560118151535
-0.03513158000000001,0.07428711237523758
-0.03510145000000001,0.04929613207419589
-0.03507132,0.02230587334907088
-0.03504119,-0.005350811517415236
-0.03501106,-0.0326742833132208
-0.03498093000000001,-0.05866490282630414
-0.0349508,-0.08265624391530416
-0.03492067,-0.1039818804388597
-0.03489054,-0.1213089601142486
-0.03486041000000001,-0.1343042698707903
-0.03483028000000001,-0.1423013835671236
-0.03480015,-0.1449670881325681
-0.03477002,-0.1419681704964431
-0.03473989000000001,-0.1339710568001097
-0.03470976000000001,-0.1199761078315264
-0.03467963,-0.1016493889440958
-0.0346495,-0.0799905393498597
-0.03461937,-0.05466634597813747
-0.03458924000000001,-0.02734287418233191
-0.03455911,0.001313449896195877
-0.03452898,0.02996977397472366
-0.03449885,0.05795967191189034
-0.03446872000000001,0.08461671756633479
-0.03443859000000001,0.1082748455846543
-0.03440846,0.1286008428961681
